,salary,education,description,title,skills,experience,employment_type
240,,High School,"Job Description
Location:Sparrows Point, MDFull-Time Warehouse Team MemberHourly pay rate: New! Up to $18.80**Effective hourly pay starting date as of 5/16, on select roles Get full healthcare and benefits Day 1Location:Sparrows Point, MDShifts:Overnight, Early Morning, Day, Evening, WeekendFull-time jobs available now. Training is provided, no experience necessary.Join our fulfillment center team that gets orders ready for people relying on Amazon deliveries. Choose from a variety of part-time shifts.Health and safety are always a top priority for us. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep everyone healthy. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.Reasons you’ll love working at Amazon:Paid time off401(k) savings planHoliday pay opportunitiesOn-the-job training and skill developmentEmployee Assistance ProgramCheck out what some of our employees have to say about their jobs: [ Link Removed ] Candidates must be 18 years or older with the ability to understand and adhere to all safety guidelines and regulations.Amazon is hiring for the following types of roles in your area:FULFILLMENT CENTERS – Work inside an Amazon warehouse, selecting, packing and shipping customer orders. If you like a fast-paced, physical position that gets you up and moving, then come help bring orders to life. Work a set, full-time schedule. Shift options include overnight and days, and usually at least one weekend day. Basic qualifications:High school or equivalent diplomaAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit  [ Link Removed ] Basic qualifications:High school or equivalent diplomaAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit  [ Link Removed ]",Order Picker/Packer (Multiple Shifts Available) - Earn up to $18.80/hr,"Scheduling, Warehousing, Packing",,FULL_TIME
241,,High School,"Job Description
DepartmentRESIDENTIAL PROGRAMS & SERV (BA-RPAS-IUBLA)Job SummaryCleans floors, ramps, and stairs by sweeping, wet mopping/dust mopping, scrubbing, or vacuuming them. Services, cleans, and supplies restrooms. Gathers and empties recycling and trash. Cleans and polishes fixtures. Replaces light bulbs. Cleans windows, glass partitions, and mirrors using soapy water or other cleaners, sponges, and squeegees. Mixes water and detergents or acids in containers to prepare cleaning solutions, according to specifications.Dusts furniture, walls, machines, and equipment. Steam cleans or shampoos carpets. Strips, seals, finishes, and polishes floors. Cleans, replaces, and hangs blinds, drapes, and entrance mats. Collects and delivers soiled items. Clears sidewalks, drives, and adjacent areas. Shovels snow.Locks, unlocks, and secures buildings. Maintains awareness of building sand facilities, reports abnormalities or security concerns. Identifies and reports needed building repairs.Perform other duties and responsibilities as assigned. Assist with snow removal activities as necessary. Works during inclement weather (i.e., snow and ice) when weather emergencies dictate that the department is needed to take care of the campus.Required QualificationsGeneral knowledge at the high school level.Excellent attendance record. Demonstrated proficiency in work performance. Ability to work with minimal supervision on routine duties, and ability to work in a team environment. Proficient communication skills.Working Conditions / DemandsThis role requires the ability to remain in a stationary position as well as the ability to move about the workplace for long durations. It requires effective communication, the ability to operate machinery, tools, and controls. The role requires the ability to ascend/descend ladders/stairs, and to position one's self in low level positions, detect a variety of chemicals and/or gases. The role requires the ability to ascend to rooftops and move in tight spaces to perform and complete inspections. The person in this role must be able to perform the essential functions with or without an accommodation.Work LocationBloomington, Indiana Job ClassificationCareer Level: FoundationalFLSA: NonexemptJob Function: Engineering, Trades & FacilityJob Family: CustodialClick here to learn more about Indiana University's Job Framework.Posting DisclaimerDue to the COVID-19 pandemic, there may be differences in the working conditions as advertised in our standard job postings (e.g., the ability to travel from one campus to another, etc.). If you are invited for an interview, please discuss your questions or concerns regarding the working conditions at that time. This posting is scheduled to close at 11:59 pm EST on the advertised Close Date. This posting may be closed at any time at the discretion of the University, but will remain open for a minimum of 5 business days. To guarantee full consideration, please submit your application within 5 business days of the Posted Date.If you wish to include a cover letter, you may include it with your resume when uploading attachments.Equal Employment OpportunityIndiana University is an equal employment and affirmative action employer and a provider of ADA services. All qualified applicants will receive consideration for employment without regard to age, ethnicity, color, race, religion, sex, sexual orientation, gender identity or expression, genetic information, marital status, national origin, disability status or protected veteran status. Indiana University does not discriminate on the basis of sex in its educational programs and activities, including employment and admission, as required by Title IX. Questions or complaints regarding Title IX may be referred to the U.S. Department of Education Office for Civil Rights or the university Title IX Coordinator. See Indiana University's Notice of Non-Discrimination here which includes contact information.Campus Safety and SecurityThe Annual Security and Fire Safety Report, containing policy statements, crime and fire statistics for all Indiana University campuses, is available online. You may also request a physical copy by emailing IU Public Safety at  [ Link Removed ]  or by visiting IUPD.Contact UsRequest SupportTelephone:  [ Phone number blocked ]","Custodian, Weekend Shift, Environmental Operations","Carpets, Mopping, Sweeping, Furnishing, Window Blinds, Squeegee, Locks, Acids, Communication, Information Security, Emergency Handling",,FULL_TIME
242,,High School,"Job Description
Additional Job InformationPRN Schedule - Job ID: 1213491Employment Status: PRNMore Information:Barnes-Jewish Hospital at Washington University Medical Center is the largest hospital in Missouri and is ranked as one of the nation's top hospitals by U.S. News & World Report. Barnes-Jewish Hospital's staff is composed of full-time academic faculty and community physicians of Washington University School of Medicine, supported by a house staff of residents, interns, fellows and other medical professionals. Recognizing its excellence in nursing care, Barnes-Jewish Hospital was the first adult hospital in Missouri to be certified as a Magnet Hospital by the American Nurses Credentialing Center.OverviewRole PurposeThe Radiology Technologist performs general diagnostic radiographic procedures to adult and/or pediatric patients for the purpose of diagnosis and/or treatment of anatomic and physiologic disordersResponsibilitiesCompletes registration and prepares patients for procedures.Performs radiographic imaging examinations. BJC has determined this is a safety-sensitive position. The ability to work in a constant state of alertness and in a safe manner is an essential function of this job.Minimum RequirementsDegreeHigh School Diploma or GEDExperienceNo ExperienceSupervisor ExperienceNo ExperienceLicenses & CertificationsIEMA - Illinois onlyRadiology Technologist - RegPreferred Requirements and Additional Job InformationDegreeAssociate's Degree - RadiologyExperienceLicenses & CertificationsCardiopulmonary ResuscitationBenefits StatementNote: not all benefits apply to all openings-  Comprehensive medical, dental, life insurance, and disability plan options-  Pension Plan*/403(b) Plan-  401(k) plan-  Tuition Assistance-  Health Care and Dependent Care Reimbursement Accounts-  On-Site Fitness Center (depending on location)-  Paid Time Off Program for vacation, holiday and sick time*Pension does not apply to Memorial Hospital, Memorial Hospital East, Alton Memorial or Parkland Health CenterLegal StatementThe above information on this description has been designed to indicate the general nature and level of work performed by employees in this position. It is not designed to contain or be interpreted as an exhaustive list of all responsibilities, duties and qualifications required of employees assigned to this job.Equal Opportunity Employer",General Radiology Technologist- PRN,"Radiography, Radiologic Technologist, Anatomy, Radiology, Perseverance, Physiology, Registration, Receptive, Imaging, Pediatrics",,FULL_TIME
243,,High School,"Job Description
ResponsibilitiesThe Laboratory Assistant will follow the guidelines set by CLIA. Unlicensed laboratory personnel (aides) may not, read, record, result, verify or interpret any laboratory test. Unlicensed laboratory personnel may not perform any test involving the quantitative measurement of specimen or reagent, or perform any mathematical calculation in determining a test result or validity of a test procedure. Unlicensed laboratory personnel may not perform instrument calibration or review quality control results to monitor the performance of the instrument or test procedure. The Laboratory Assistant: 1) performs computer entry, filing, telephone communication and other clerical duties, 2) demonstrates good telephone etiquette and be able to greet patients and other visitors in a polite and friendly manner, 3) possesses good communication skills, 4) demonstrates adequate knowledge of the terminology of tests ordered in the laboratory, 5) demonstrates a good working knowledge of phlebotomy and the equipment used in collecting specimens from newborns to geriatric patients, 6) processes pathology, microbiology, immunology, hematology, coagulation, urinalysis, chemistry, and blood bank specimens, 7) processes specimens for reference laboratory, 8) stocks and orders routine supplies, 9) keeps storage areas, trays, centrifuges, and collection areas clean, 10) processes or places specimens on laboratory instruments in accordance with established policy and procedures, 11) with proper documented training the laboratory assistant may perform, instrument preventive maintenance, troubleshooting, assist in quality control procedures, perform, primary culture inoculations, stain slide preparations, and subculture from liquid media. 11) Other tasks or responsibilities may be assigned by the department manager/director, ie monitor, mail, fax, answer phone, inter departmental deliveries. Etc. 12) Assist in Pathology with training and eval. 13) RunnerQualificationsEducation and Work ExperienceHS Diploma or Equivalent required.Minimum 1-year clinical laboratory experience performing similar job functions preferred.State Certified as CPT I or CPT II if the laboratory is located in a state where required.Current BCLS (AHA) certificate upon hire and maintain current preferred.We are an Equal Opportunity/ Affirmative Action Employer and do not discriminate against applicants due to veteran status, disability, race, gender, gender identity, sexual orientation or other protected characteristics. If you need special accommodation for the application process, please contact Human Resources. EEO is the Law: [ Link Removed ]",Lab Assistant PD - NVNV,"Hematology, Coagulation, Medical Laboratory, Microbiology, Pathology, Urinalysis, Phlebotomy, Immunology, Telephone Skills, Storage (Warehousing), Cell Cultures, Subculture, Friendliness, Reagent, Lab Tests, Filing, Chemistry, Stocks (Inventory), Certified Landscape Irrigation Auditor, Testing",At least 1 year experience.,PER_DIEM
244,,High School,"Job Description
Retail Wireless Consultant - Part-Time - $500 Sign-on Bonus - SAL021663 Join U.S. Cellular, where our top part-time sales associates earn $46k or more a year!Help People Do Life Better.You can sell technology or you can impact lives through technology. At U.S. Cellular®, we believe in teaching people how they can apply today's best technology to create better in their lives-better connections with family and friends and better efficiencies with their time and money.RETAIL WIRELESS SALES CONSULTANT (PART-TIME)Our Retail Wireless Sales Consultants sell wireless technology, of course. But their real sense of fulfillment is in consulting out of their passion for technology and their desire to make others' lives just a bit easier. It's the kind of approach we're known for, not only because our customers become full-on U.S. Cellular fans, but because we make it worth every bit of our associates' efforts ...   Enjoy competitive earnings that combine hourly pay and commission(s) Earn an average of $21-$24/hour in hourly pay and commissions for a 25-29 hour work week when meeting sales targets When exceeding sales targets, our top, part-time performers, earn an average of $31/hour per year (hourly pay and commissions) Competitive benefits, including medical, dental, 401K, pension, and lots more, with certain benefits available from day one  We also offer ongoing training that provides the latest insights on the newest tech advancements so you're prepared for the unique challenges and expectations our customers have for connected home and wireless communications. And best of all, there are opportunities to grow professionally. We offer a promote-from-within environment where upward movement is not only possible, but likely. It's all about your commitment!Here's What We Require:  High school diploma or state equivalency Strong written and interpersonal communication skills The flexibility and willingness to work evenings, weekends and holidays  Here's What's Ideal in a Candidate:  1 or more years of experience working directly with customers 1 or more years of retail sales experience 1 or more years of wireless or tech industry experience  APPLY NOW.U.S. Cellular is a drug-free workplace.Job : Sales Retail Location(s) : Wisconsin-FOND DU LAC_WI U.S. Cellular® is an EEO employer and gives consideration to qualified applicants without regard to race/color/age/religion/sex/sexual orientation/gender identity/national origin/disability/veteran status, pregnancy or genetic information.",Retail Wireless Consultant - Part-Time - $500 Sign-on Bonus,"Retail Sales, Interpersonal Communications, Wireless Communications, Communication",At least 1 year experience.,PART_TIME
245,,None,"Job Description

 
 
  
   
     
    
     
    
    
     Job Description  
     We are seeking an Account Executive to join our team! You will resolve customer questions and offer solutions to drive company revenue. 
     As a Sales Partner, you will be consulting local business owners about their needs and business goals. You will be communicating how FlashBanc’s solutions can help their business excel in these areas while saving money on their current processing rates. FlashBanc offers a variety of business solutions that are aimed towards small to mid-size businesses. These solutions range from necessary functions such as credit card processing and POS systems to business capital funding. Most businesses already use the services you are offering them; therefore, your goal is to help businesses save money on these services while updating their technology and acting as a consultant in their efforts. FlashBanc is powered by First Data, a global technology and payment processing leader (ranked #43 on the Fortune 500 list) that has held the #1 ranking in the Financial Data Service Industry for four consecutive years.    
     Benefits of Working with FlashBanc 
     ●  FlashBanc pays its Outside Sales Partners a competitive commission rate with additional opportunities to make money, such as our Sales Partner Referral Program. 
     ●  Residual income that allows you to continue making money after the initial sale 
     ●  No need to clock in – you create your own schedule! 
     ●  Continuous professional sales and product training program along with a dedicated Corporate Sales Team to provide support for your daily efforts 
     ●  Personalized flyers and business cards upon request 
     ●  Integrated online agent platform to manage accounts, participate in continuous training, access marketing materials and more! 
     ●  Monthly raffles based on commitment to the company and sales volume 
    
    
     
   
   
 


Job Requirements



Responsibilities:
●  Present and sell FlashBanc's products and services to new and existing customers
●  Prospect and contact potential customers
●  Reach agreed upon sales targets by the deadline
●  Working with an assigned Sales Team for coaching and assistance throughout the entire sales process
●  Set follow-up appointments to keep customers aware of latest developments
●  Developing business relationships with business owners in your area
​Qualifications:
●  Previous experience in sales, customer service, or other related fields
●  Familiarity with CRM platforms
●  Ability to build rapport with clients
●  Strong negotiation skills
●  Deadline and detail-oriented
●  Interest in B2B sales
For additional questions please contact us directly at  [ Phone number blocked ]",Sales Consultant  ( Work from Home ),"Client Rapport, Business To Business, Sales, Marketing, Hardworking And Dedicated, Customer Service, Sales Process",No experience required.,"FULL_TIME, PART_TIME"
246,,High School,"Job Description
Shifts:  Early Morning, Day, Evening, WeekendLocation: La VergneJob opportunities vary by location. We update postings daily with open positions.Hourly pay rate: New! Up to $19.65**Effective hourly pay starting date as of 5/16, on select roles Immediate openings available now.Become part of the dedicated team that gets orders ready for people relying on Amazon’s service. From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of jobs. Find the right Amazon opportunity for you today.Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our  [ Link Removed ] .Candidates must be 18 years or older with the ability to read and speak English for safety purposes.Reasons you’ll love working here:Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy. Earn more: You can expect a competitive wage and reliable paycheck when you work for Amazon.Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.Stay active: You’ll be on the move for your whole shift in our fast-paced environments.Check out what some of our employees have to say about their jobs: [ Link Removed ] Amazon is hiring for the following types of roles in your area:Sort Centers – It’s no small job to get every order from click to customer door. Our sort centers are the first stop on the journey from the warehouse. You’ll be up on your feet moving and sorting packages between trucks. These are part-time opportunities with a consistent schedule of 25-35 hours per week.Basic qualifications:High school, GED, or equivalent diplomaAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit  [ Link Removed ] .",Amazon Warehouse Assistant (Morning Shifts Available) - Earn up to $19.65/hr,English Language,,FULL_TIME
247,,Associate's Degree,"Job Description
DescriptionYOU ARE REQUIRED TO SUBMIT A RESUME WITH YOUR APPLICATION!   Certified Surgical Technician - AdventHealth – Orlando – Cardiovascular Surgery  Location Address:  601 E. Rollins Street Orlando, FL 32803  Top Reasons to work at AdventHealth - Orlando   Located on a lush tropical campus, our flagship hospital, 1,368 bed AdventHealth Orlando serves as the major tertiary facility for much of the Southeast, the Caribbean and South America AdventHealth Orlando houses one of the largest Emergency Departments and largest cardiac catheterization labs in the country We are already one of the busiest hospitals in the nation, providing service excellence to more than 32,000 inpatient and 125,000 outpatient each year Up to $7500 Sign on and $3000 Relo to Florida  Work Hours/Shift:   Full Time Nights Monday/Tuesday/Wednesday/Thursday 9:30pm-7:00am with call Qualifications Job Summary: Under general supervision, a surgical scrub technician/nurse assists with the patient care in surgery by performance of technical and other delegated duties. Functions as a member of the surgical team, as a scrub person by providing care to surgical patients of age specific groups identified in the unit standards of care (may include neonate to geriatric). Adheres to the AdventHealth Corporate Compliance Plan and to all rules and regulations of all applicable local, state and federal agencies and accrediting bodies. Actively participates in outstanding customer service and accepts responsibility in maintaining relationships that are equally respectful to all.   What You Will Need:  Certification from the National Board of Surgical Technology and Surgical Assisting (NBSTSA) or the National Center for Competency Testing (NCCT).  Completion of a RN training program will be accepted in place of certification. BLS Certification If LPN, must have current, valid State of Florida license as a Licensed Professional Nurse.  Additional Surgical Technician certification not required. Basic aseptic/sterile technique skills Knowledge of surgical instrumentation  You Will Be Responsible For:  Demonstrates through behavior AdventHealth’s core Values of Keep Me Safe, Love Me, Make it Easy, and Own It.  Performs the role of surgical scrub by anticipating the needs of the surgeon and keeping the circulating nurse informed of any needs throughout a procedure. Ensures that all supplies, equipment, and medications are assembled prior to the procedure.  Is innovative in maintaining high standards and quality in the facilitation of cost savings and containment.  In an efficient and organized manner, assists team with safe and appropriate operating room turnover times.  Directs ancillary personnel participating in room turnover.   Provides assistance and support as needed to members of the surgical team. Supervises other healthcare team members in the surgical environment.  Utilizes knowledge base to assist with orientation, training, and the education of new personnel. Promotes a safe environment.  Takes appropriate action in emergency situations, being aware of and controlling hazards which may endanger patients, visitors, and employees.  Identifies and reports environmental concerns to the management team.  Ensures adherence to appropriate regulatory standards and FH policy and procedure.  Follows CDC isolation guidelines, appropriately uses PPE, and performs hand washing according to policy.  Strictly adheres to all infection control practices and diligently monitors aseptic technique of the entire surgical team.  Takes immediate corrective action for breaks in technique.     This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",Certified Surgical Tech FT Nights 9:30p-7:00a Cardiovascular,"Emergency Handling, Aseptic Processing, Asepsis, Licensed Practical Nurse, Registered Nurse Certified, Geriatrics, Infection Control, Health Care, Corrective And Preventive Actions",,FULL_TIME
248,,Bachelor's Degree,"Job Description
TECHNOGEN, Inc. is a Proven Leader in providing full IT Services, Software Development and Solutions for 15 years. 



TECHNOGEN is a Small and Woman Owned Minority Business with GSA Advantage Certification. We have offices in VA; MD and Offshore development centers in India. We have successfully executed 100 projects for clients ranging from small business and non-profits to Fortune 50 companies and federal, state and local agencies.
Management Analyst Falls Church Long term  Should be able to clear Public Trust Clearance  Experience: 4-6 years of related experience  Review documents and analyze Gathers, interprets, and uses complex data to develop actionable steps that will improve processes and optimize results BS in a management related discipline.  Document preparation: gather information, analyze data and information Excellent communication skill is a must: both written and verbal  Job Descriptions:  Demonstrated experience and ability to lead or supervise a team of specialists and other management staff to incorporate requirements into new or existing information management systems.  Ability to assess and apply multiple organizational, and management improvement techniques in a government or commercial environment.  Demonstrated ability to conduct and participate in formal and informal reviews at pre-determined points throughout the project life cycle.  Demonstrated ability to analyze client needs to determine systems requirements as they apply to the client's management systems.  Ability to review client requirements and participate in client problem solving and in the recommendation process.  Ability to identify best practices and apply enterprise-wide process re-engineering, change management, business management techniques, organizational development, activity and data modeling, or information system development methods and practices.  Ability to apply process improvement and re-engineering methodologies and principles.  Ability to create and assess performance measurements. Ability to communicate effectively orally or in writing. Excellent interpersonal skills.          Best Regards,  Kevin Kristoff Sr. Talent Acquisition Specialist Phone:  [ Phone number blocked ]  Email:  [ Link Removed ]   Web:  [ Link Removed ]   4229 Lafayette Center Dr, Suite 1880, Chantilly, VA 20151        

Job Requirements
gather information, analyze data and information",Management  Analyst,"Business Process Improvement, Change Management, Best Practices, Organization Development, Complex Problem Solving, Project Management Life Cycle, Management",4 to 6 years experience.,CONTRACTOR
249,,High School,"Job Description
Retail Wireless Sales Consultant - Part-Time - SAL021614 Join U.S. Cellular, where our top part-time sales associates earn $46k or more a year!Help People Do Life Better.You can sell technology or you can impact lives through technology. At U.S. Cellular®, we believe in teaching people how they can apply today's best technology to create better in their lives-better connections with family and friends and better efficiencies with their time and money.RETAIL WIRELESS SALES CONSULTANT (PART-TIME)Our Retail Wireless Sales Consultants sell wireless technology, of course. But their real sense of fulfillment is in consulting out of their passion for technology and their desire to make others' lives just a bit easier. It's the kind of approach we're known for, not only because our customers become full-on U.S. Cellular fans, but because we make it worth every bit of our associates' efforts ...   Enjoy competitive earnings that combine hourly pay and commission(s) Earn an average of $21-$24/hour in hourly pay and commissions for a 25-29 hour work week when meeting sales targets When exceeding sales targets, our top, part-time performers, earn an average of $31/hour per year (hourly pay and commissions) Competitive benefits, including medical, dental, 401K, pension, and lots more, with certain benefits available from day one  We also offer ongoing training that provides the latest insights on the newest tech advancements so you're prepared for the unique challenges and expectations our customers have for connected home and wireless communications. And best of all, there are opportunities to grow professionally. We offer a promote-from-within environment where upward movement is not only possible, but likely. It's all about your commitment!Here's What We Require:  High school diploma or state equivalency Strong written and interpersonal communication skills The flexibility and willingness to work evenings, weekends and holidays  Here's What's Ideal in a Candidate:  1 or more years of experience working directly with customers 1 or more years of retail sales experience 1 or more years of wireless or tech industry experience  APPLY NOW.U.S. Cellular is a drug-free workplace.Job : Sales Retail Location(s) : Oregon-MEDFORD_OR U.S. Cellular® is an EEO employer and gives consideration to qualified applicants without regard to race/color/age/religion/sex/sexual orientation/gender identity/national origin/disability/veteran status, pregnancy or genetic information.",Retail Wireless Sales Consultant - Part-Time,"Retail Sales, Interpersonal Communications, Wireless Communications, Communication",At least 1 year experience.,PART_TIME
250,,4 Year Degree,"Job Description
Salesforce Architect - Boston, Massachusetts- $ / hrMason Frank International is looking for a Salesforce Architect to take part in a project with a leading salesforce end-user. In this role you will be working in depth with Einstein Analytics. Our client is looking for a trusted individual to advise and guide the team.Responsibilities:Give support to Team and Project ManagerProven ability to collaborate across teams, use judgement on technical discussions.Hands on experience with Force.com technologiesAssist in mapping out strategic development, documentation, and governance,Requirements:Salesforce Certificates3+ Projects in EinsteinExperienced Salesforce ArchitectStrong stakeholder management experienceStrong communication and managerial skillsThis is a contract position available for remote work. We are looking to have someone start asap. Don't miss this opportunity!Next steps: Mason Frank International is the global leader for Salesforce.com recruitment, supporting more Salesforce.com jobs than any other agency. We deal with both Salesforce.com Partners & End Users throughout North America. By specializing solely in placing candidates in the Salesforce.com market I have built relationships with most of the key employers in the US and have an unrivaled understanding of where the best opportunities and Salesforce.com jobs are. I understand the need for discretion and welcome the opportunity to speak to any candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. To apply for this role or for information on the Salesforce.com market and some of the opportunities that are available I can be contacted at  [ Phone number blocked ]  or :  [ Link Removed ]","Salesforce Architect - Boston, Massachusetts- $ / hr","Analytics, Salesforce.Com, Mapping, Stakeholder Management, Trustworthy, Documentation, Leadership, Governance",No experience required.,CONTRACTOR
251,,High School,"Job Description
DescriptionSPD Tech Certified AdventHealth Daytona Beach  Location Address: 301 Memorial Medical Pkwy, Daytona Beach, FL 32117  Top Reasons To Work At AdventHealth Daytona Beach  	$5,000 sign on and $3,000 relo 	Health insurance  	Flexible shift 	Career growth and advancement potential 	High quality of life with low cost of living on the shores of sunny Daytona Beach, FL.  Work Hours/Shift: FT, Days  You Will Be Responsible For:  	Decontaminates all surgical instruments and equipment after surgery.  Maintains adequate turnaround of instruments and equipment trays in the event of urgent or emergency needs. 	Selects appropriate disinfectants, detergents, sterilization methods and decontamination devices according to device type and applicable instructions for use. 	Inspects, assembles instrument and equipment trays in a timely manner to assure all necessary instruments are present, according to the count sheets, and notifies manager or Lead technician of any deviations. 	Selects proper packaging and sterilization methods as appropriate to the instrumentation. 	Properly loads and unloads sterilizer to ensure items will be exposed to proper sterilization conditions. 	As directed, Monitors sterilizers in SPD, CVOR and OR according to infection control policies..   Qualifications  What You Will Need:  	High School Diploma or GED equivalent.   	Certification in Sterile Processing   Job Summary: Responsible for the manual and mechanical decontamination, preparation and sterilization of products, instruments and equipment. Complies with all policies and procedures regarding sterilization, decontamination as it applies to Infection Control, and safety. Participates in routine inspection and monitoring of instrumentation/equipment and assists in the preventative maintenance of Sterile Processing (SPD) equipment. Assesses Keeps surgical instrumentation and endoscopes for in good working order and notifies the shift Lead Technician/Manager of necessary repairs. Assists the shift Lead Technicians/Manager in maintaining essential departmental supplies as directed.  Assembles instruments trays/equipment sets according to count sheets/Impress scanning ensuring instrument trays are complete, accurate and in good condition. Notifies the shift Lead Tech/Manager of lost/damaged instruments. Communicates as indicated/directed with departmental supervisory/unit personnel that applicable supply, instruments and equipment provided by SPD is available and ready for scheduled and emergency surgical cases. Orders and receives essential supply stock as directed. When assigned in the role of assembling daily case cart surgical supplies the SPD Technician notifies SPD Manager and/or Database Coordinator of needed updates to Surgeon's preference cards. In the assigned role as SPD supply technician, applicable supply PAR levels are monitored and replenished as directed.     This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",SPD Technician Full Time Days,"Sterilization, Surgical Instruments, Decontamination, Infection Control, Software Packaging, Emergency Handling",No experience required.,FULL_TIME
252,,Bachelor's Degree,"Job Description
Purpose:Coordinates multi-stakeholder community partnerships to plan and implement population health initiatives out of the D-H Department of Community Health Improvement in execution of the State of NH Substance Misuse Prevention contract.Key Responsibilities: 	Leads the development and sustainability of one or more community coalition(s) including health care, municipal, education, community service, business, and law enforcement members.	Ensures project related assessment of community needs and assets are compiled and documented.	Coordinates with guidance from senior staff, capacity development, action planning, implementation, and evaluation of projects in collaboration with community stakeholders and organizations.	Implements evaluation strategies to track progress of Substance Misuse Prevention work plan initiatives. Completes NH DHHS Substance Misuse Prevention required reporting.	Provides support and technical assistance to community partners to achieve the goals and objectives for which their organizations are responsible.	Assists with and independently conducts evaluation to track progress and improve the quality of future work.	Performs other duties as required or assigned.																																																								Minimum Qualifications:	Bachelor’s degree in a related field and 2 years’ experience in health-related community organizations and/or community development, or the equivalent in education and professional experience required.	Excellent interpersonal and organizational skills, creativity, maturity, flexibility, diplomacy, and the ability to work as part of a team required. 	Demonstrated ability to handle multiple projects under pressure required.Required Licensure/Certification Skills: Completes Certified Prevention Specialist or other training required by contract or Community Health Department       within 12 months of hire.","Community Health Partnership Coordinator(FT), Local Community Health","Community Development, Sustainability",At least 2 years experience.,PART_TIME
